City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,Lorengau,PG,2022-06-16 04:22:29,-2.0226,147.2712,85.44,67,96,9.46
177,Altamont,US,2022-06-16 04:22:30,42.2068,-121.7372,59.77,44,0,3.44
178,Fare,PF,2022-06-16 04:22:30,-16.7,-151.0167,80.47,71,2,16.26
179,Hamilton,US,2022-06-16 04:21:33,39.1834,-84.5333,84.74,74,0,5.75
180,Shingu,JP,2022-06-16 04:22:31,33.7333,135.9833,77.49,70,100,12.93
181,Sri Aman,MY,2022-06-16 04:22:31,1.2376,111.4621,86.05,79,40,3.44
182,Anklam,DE,2022-06-16 04:22:31,53.8564,13.6897,54.05,76,99,4.68
183,Templin,DE,2022-06-16 04:22:32,53.1186,13.5022,59.18,81,100,5.79
184,Westport,US,2022-06-16 04:22:32,41.1415,-73.3579,66.56,85,100,1.01
185,Vieste,IT,2022-06-16 04:22:33,41.8825,16.175,72.59,52,23,3.98
186,Thunder Bay,CA,2022-06-16 04:20:54,48.4001,-89.3168,54.28,100,100,2.3
187,Swellendam,ZA,2022-06-16 04:23:33,-34.0226,20.4417,45.88,71,19,5.3
188,Ouesso,CG,2022-06-16 04:23:34,1.6136,16.0517,70.84,96,100,0.81
189,Zyryanka,RU,2022-06-16 04:23:35,65.75,150.85,73.36,26,71,7.0
190,Terney,RU,2022-06-16 04:23:35,45.0503,136.6092,62.56,75,71,6.89
191,Mitsamiouli,KM,2022-06-16 04:23:36,-11.3847,43.2844,77.59,76,4,4.14
192,Matay,EG,2022-06-16 04:23:36,28.419,30.7792,75.31,63,0,14.67
193,Ambilobe,MG,2022-06-16 04:23:36,-13.2,49.05,69.42,84,0,3.06
194,Myszkow,PL,2022-06-16 04:23:37,50.5752,19.3246,60.55,88,43,5.32
195,Tiksi,RU,2022-06-16 04:23:37,71.6872,128.8694,36.88,73,10,10.38
196,Airai,TL,2022-06-16 04:23:38,-8.9266,125.4092,72.63,52,58,5.3
197,Marsaxlokk,MT,2022-06-16 04:23:38,35.8419,14.5431,74.08,56,0,5.75
198,Songjianghe,CN,2022-06-16 04:23:38,42.1859,127.479,62.82,90,97,2.26
199,Kastamonu,TR,2022-06-16 04:23:39,41.5,33.6667,55.24,78,0,1.45
200,Tomaszow Mazowiecki,PL,2022-06-16 04:23:40,51.5313,20.0086,60.57,10,80,5.77
201,Manono,CD,2022-06-16 04:23:40,-7.3,27.4167,69.08,50,3,4.34
202,Tilichiki,RU,2022-06-16 04:23:40,60.4667,166.1,49.95,71,92,10.83
203,Requena,ES,2022-06-16 04:23:41,39.4883,-1.1004,65.79,34,100,2.53
204,Matadi,CD,2022-06-16 04:23:42,-5.8167,13.45,66.9,98,71,2.44
205,Salinas,US,2022-06-16 04:23:42,36.6777,-121.6555,66.49,68,0,11.5
206,Longyearbyen,SJ,2022-06-16 04:22:19,78.2186,15.6401,39.04,70,75,11.5
207,Gazipur,BD,2022-06-16 04:23:43,23.9981,90.423,87.76,70,75,17.27
208,Mahibadhoo,MV,2022-06-16 04:23:43,3.7833,72.9667,83.28,72,87,8.03
209,Coihaique,CL,2022-06-16 04:23:44,-45.5752,-72.0662,42.75,61,40,9.22
210,Clyde River,CA,2022-06-16 04:23:44,70.4692,-68.5914,30.43,93,100,29.93
211,Ferkessedougou,CI,2022-06-16 04:23:45,9.6,-5.2,73.0,93,100,5.68
212,Sokoto,NG,2022-06-16 04:23:46,13.0609,5.239,77.76,57,92,10.51
